User ID,count
1.6e+18,1813
1.62e+18,1302
1.61e+18,1285
1.49e+18,1113
1.58e+18,1037
1.57e+18,1023
1.55e+18,797
1.59e+18,671
1.52e+18,464
1.56e+18,428
1.51e+18,352
1.53e+18,344
1.54e+18,327
1.46e+18,281
1.48e+18,247
1.44e+18,243
1.19e+18,234
1.29e+18,233
1.35e+18,220
1.43e+18,218
1.45e+18,209
1.63e+18,204
1.5e+18,190
1.42e+18,184
1.47e+18,176
1.64e+18,164
1.36e+18,154
306615832.0,153
1.1e+18,140
1.4e+18,138
1.41e+18,130
46693036.0,119
1.17e+18,106
1.33e+18,102
1.23e+18,97
1.27e+18,94
1.07e+18,92
1.14e+18,91
1.03e+18,91
9.21e+17,90
1.34e+18,88
1.37e+18,87
1.31e+18,84
1.32e+18,83
1.39e+18,81
1.11e+18,79
1.24e+18,77
465280582.0,75
1.38e+18,73
1.09e+18,72
2410032319.0,65
7.6e+17,62
1.26e+18,59
7.42e+17,57
79130206.0,54
1.16e+18,52
1.28e+18,51
1.21e+18,49
8.17e+17,49
1.05e+18,49
8.03e+17,48
8.04e+17,47
465458275.0,47
1.12e+18,42
2718336037.0,41
7.5e+17,40
1.22e+18,39
2320493293.0,39
1.3e+18,39
1.2e+18,37
3533477712.0,37
2420416704.0,36
1.25e+18,36
7.98e+17,35
3306055003.0,35
41730943.0,33
137560294.0,32
726059647.0,32
1.18e+18,31
231355136.0,31
30617522.0,31
1.06e+18,30
4186003753.0,30
1.08e+18,30
1.15e+18,30
9.03e+17,30
1.02e+18,29
69183155.0,29
189190233.0,29
4513069644.0,29
1.04e+18,28
1.13e+18,28
4185941893.0,28
2221519400.0,27
3174993902.0,27
1.01e+18,26
9.75e+17,26
185275415.0,25
756374106.0,24
2558197662.0,23
2385926900.0,22
100715895.0,21
294348814.0,20
1978790995.0,20
157865745.0,20
465423257.0,19
9.4e+17,19
435004096.0,19
7.89e+17,18
2905567770.0,18
68930552.0,18
8.87e+17,17
428008436.0,17
8.92e+17,16
1878861787.0,16
109149190.0,16
215989357.0,16
23343960.0,16
3827798354.0,16
576755999.0,16
3158832157.0,16
9.95e+17,15
8.37e+17,15
506059176.0,15
154435354.0,15
123757780.0,15
55507370.0,14
8.72e+17,14
1153424046.0,14
2887087309.0,13
1225312609.0,13
551058206.0,13
121143089.0,13
2251776169.0,13
1044027295.0,13
3706597332.0,13
64635651.0,12
88352716.0,12
990237626.0,12
567132989.0,12
8.64e+17,12
1322178134.0,12
1e+18,12
2162133289.0,12
3271449511.0,11
71436318.0,11
771030588.0,11
384190172.0,11
3306771829.0,11
18129942.0,11
173137568.0,11
1714809612.0,11
7.34e+17,11
9.87e+17,10
7.69e+17,10
8.22e+17,10
21287066.0,10
2335281158.0,10
9.77e+17,10
136299265.0,10
99864226.0,10
9.54e+17,10
9.88e+17,10
8.34e+17,9
9.84e+17,9
8.88e+17,9
8.3e+17,9
1018719920.0,9
634227637.0,9
440795943.0,9
6.97e+17,9
7.07e+17,9
2703213439.0,9
91103761.0,9
9.67e+17,9
3163785546.0,9
1021578788.0,9
2669430458.0,8
7.99e+17,8
255866913.0,8
91185042.0,8
4097650214.0,8
9.73e+17,8
7.37e+17,8
118646322.0,8
1341398533.0,8
2926259030.0,8
199609723.0,8
404577193.0,8
9.79e+17,8
9.71e+17,8
9.49e+17,7
9.12e+17,7
7.72e+17,7
7.95e+17,7
1038715302.0,7
79178176.0,7
1017294361.0,7
90832506.0,7
14321721.0,7
777093139.0,7
3672513812.0,7
114697372.0,7
9.43e+17,7
7.82e+17,7
9.92e+17,7
527530382.0,7
3007796066.0,7
2328087914.0,7
1964287824.0,7
70412517.0,7
48244182.0,6
3305634234.0,6
2765058648.0,6
7.26e+17,6
456426648.0,6
2950549608.0,6
577137105.0,6
1542610392.0,6
168082298.0,6
2392460208.0,6
922666416.0,6
7.23e+17,6
2755262034.0,6
397673651.0,6
106247388.0,6
3198142350.0,6
7.29e+17,6
2992304730.0,6
1087876332.0,6
375995332.0,6
9.62e+17,6
2470403222.0,6
7.81e+17,6
8.99e+17,6
2428768339.0,6
8.98e+17,6
117449840.0,5
4187275698.0,5
69891770.0,5
2505265722.0,5
18071520.0,5
70618700.0,5
1575046236.0,5
4517167514.0,5
89877164.0,5
9.39e+17,5
7.8e+17,5
9.27e+17,5
111869546.0,5
2851834495.0,5
42432846.0,5
110364620.0,5
17128975.0,5
8.5e+17,5
79984762.0,5
1044869809.0,5
2667428478.0,5
7.91e+17,5
7.21e+17,5
2714869507.0,5
268432978.0,5
985916988.0,5
22365191.0,5
2425211274.0,5
564578290.0,5
2655442453.0,5
388190238.0,5
2425122774.0,5
2570087317.0,5
8.78e+17,5
9.76e+17,5
82040833.0,5
86900207.0,5
3957309192.0,5
252415154.0,5
47596019.0,5
943536788.0,5
3657686293.0,5
2504984816.0,4
500540421.0,4
3319260420.0,4
9.99e+17,4
8.81e+17,4
9.23e+17,4
202559038.0,4
1632918924.0,4
161742024.0,4
15256823.0,4
341414105.0,4
4776277333.0,4
326453024.0,4
115413148.0,4
1637199236.0,4
2493570577.0,4
318831793.0,4
2287725409.0,4
3435242294.0,4
2860355641.0,4
7.36e+17,4
