created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 14 09:37:44 +0000 2024;1757700643555291382;"Sudah tiba saatnya untuk melebur dan menyatu kembali untuk Indonesia Maju. Selamat kepada Presiden 2024-2029  @prabowo";0;0;0;0;in;254848340;1757700643555291382;andopena10;https://twitter.com/andopena10/status/1757700643555291382
Wed Feb 14 09:35:22 +0000 2024;1757700046420922523;"Menjelang pilihan raya umum Indonesia (Pemilu 2024), berikut keputusan kiraan pantas bagi enam tinjauan secara dalam talian.  Sehingga jam 4 petang, calon pilihan raya presiden Indonesia 2024 (Pilpres 2024), Prabowo Subianto berjaya mendahului calon-calon lain.  #SinarHarian… https://t.co/GUh6WAySbe";0;0;5;6;in;331383958;1757700046420922523;SinarOnline;https://twitter.com/SinarOnline/status/1757700046420922523
Wed Feb 14 09:28:42 +0000 2024;1757698368627966068;"Selamat kepada pasangan 02   Prabowo Gibran  yang unggul sesuai  hasil quick count, calon Presiden dan Wakil Presiden Republik Indonesia 2024 - 2029.";0;0;0;0;in;83385871;1757698368627966068;UiDiazAlffi;https://twitter.com/UiDiazAlffi/status/1757698368627966068
Wed Feb 14 09:27:26 +0000 2024;1757698050469032350;"Pak @prabowo mas @gibran_tweet , Sbagai Presiden dan wakil Presiden terpilih 2024-2029, saya bagian dri rakyat indonesia memohon agar priode kepemimpinan bapak berdua untuk menggenjot ekonomi rakyat terlebih dahulu, krn dampak pandemi covid19 trhadap ekonomi blom sepenuhnya pulih";0;4;16;45;in;815290931003826176;1757698050469032350;blantik_pedhet2;https://twitter.com/blantik_pedhet2/status/1757698050469032350
Wed Feb 14 09:22:44 +0000 2024;1757696870275825821;"Selamat buat presiden dan wakil presiden "baru" "Republik" Indonesia tahun 2024-2029 pak @prabowo dan mas @gibran_tweet, serta para pendukung 02. saatnya kalian kritisi kebijakan beliau nantinya!   *semoga Indonesia beneran maju✊";0;1;0;2;in;1582598173570502656;1757696870275825821;bukandecullll;https://twitter.com/bukandecullll/status/1757696870275825821
Wed Feb 14 09:17:55 +0000 2024;1757695656855269563;"@Sundakiwari1 @prabowo @Gerindra Selamat Untuk Pak @prabowo dan Pak @gibran_tweet di pilih dan percaya menjadi Presiden dan Wakil Presiden Republik Indonesia thn 2024 - 2029.  Salama Kejayaan NKRI dan Kesejahteraan SELURUH RAKYAT NKRI.  Ijin Tag @PartaiSocmed  @Heraloebss  @psi_id";0;1;1;2;in;1503354230794436608;1757675527702557172;Bambang48835243;https://twitter.com/Bambang48835243/status/1757695656855269563
Wed Feb 14 09:11:03 +0000 2024;1757693927380209886;"Selamat dan Sukses untuk Pak @jokowi sebagai Komandan KIM, yang telah membawa Pak @prabowo dan Mas @gibran_tweet menjadi Presiden dan Wakil Presiden Indonesia yang Baru, Periode 2024 - 2029, Semoga Indonesia semakin Maju dan Sejahtera 🙏 (Berdasarkan Hitung Cepat lembaga Survei)";0;0;1;0;in;204194642;1757693927380209886;emahaly;https://twitter.com/emahaly/status/1757693927380209886
Wed Feb 14 09:10:59 +0000 2024;1757693912804884819;"Tetap setia sama pak @prabowo  Cc :  @Gerindra @gibran_tweet  Welcome Presiden dan Wakil Presiden Indonesia 2024 1 putaran is REAL !!! https://t.co/g5zIfxQIpT";0;0;0;0;in;307359140;1757693912804884819;RiidhoM;https://twitter.com/RiidhoM/status/1757693912804884819
Wed Feb 14 09:03:24 +0000 2024;1757692004950257980;"@jjeongjaehyunj ngapain deg deg an . orang prabowo gibran presiden dan wakil presiden indonesia 2024 ✌🏻";0;0;0;0;in;1649053079113965568;1757655093493789129;wanaiki_gov;https://twitter.com/wanaiki_gov/status/1757692004950257980
Wed Feb 14 09:03:06 +0000 2024;1757691926198014451;"Jadi inget dulu pak prabowo pernah ngutip buku Ghost Fleet. Di buku itu katanya Indonesia bakal bubar di tahun 2030.  Hebat ya penulis bukunya udh tau kalo Prabowo bakal jadi presiden tahun 2024-2029";0;0;0;1;in;713946246038339584;1757691926198014451;titoadriy;https://twitter.com/titoadriy/status/1757691926198014451
Wed Feb 14 08:57:54 +0000 2024;1757690617566777708;"Di 22 propinsi #02 unggul sehingga @kompastv bisa mengatakan #02 calon presiden RI 2024 - 2029. Semoga Tuhan YME mengijinkan @prabowo dan @gibran_tweet sebagai pemimpin bamgsa Indonesia. https://t.co/8LgqxzkiEu";0;0;0;0;in;1421069711329038344;1757690617566777708;MarojahanPanja4;https://twitter.com/MarojahanPanja4/status/1757690617566777708
Wed Feb 14 08:57:34 +0000 2024;1757690534125302015;"Selamat kepada pak prabowo dan mas gibran, insya Allah mjd presiden dan wakil presiden republik indonesia 2024-2029. Semoga selalu dinaungi hikmah kebijaksanaan dari Allah dlm memimpin sehingga bisa mjd pemimpin yg baik dan sayang kpd rakyatnya. Amiin.";0;1;0;0;in;960773334;1757690117995823308;miskiy28;https://twitter.com/miskiy28/status/1757690534125302015
