,created_at,user_id_str,username,tweet_url,Tweet,no_stopwords,sentiment
645,2023-08-20,1670329624507879430,TaqwinEwin21674,https://twitter.com/TaqwinEwin21674/status/1693289430206083091,"1987 indonesia sudah pernah menjadi swasemba pangan di era Alm PAK PRESIDEN SUHARTO.. KEMBALIKAN LAGI MASA KEJAYAAN YANG LALU PAK PRABOWO, SEMOGA RESTU ALLAH SWT 2024/2029 BAPAK TERPILIH RI 1 AMIIIN..!",pernah swasemba pangan era alm pak presiden suharto masa kejayan lalu pak prabowo moga restu alah swt bapak pilih ri amin,Positive
646,2023-08-20,1640791322339717121,kazumalord433,https://twitter.com/kazumalord433/status/1693276981629182433,suara rakyat Indonesia 100% untuk pak presiden 2024 nanti 🔥 #prabowopresiden2024 #papera #satukomando,suara indonesia pak papera satukomando,Positive
647,2023-08-20,1667222990793347072,komalad65186027,https://twitter.com/komalad65186027/status/1693275890686587209,suara rakyat Indonesia 100% untuk pak presiden 2024 nanti 🔥 #prabowopresiden2024 #papera #satukomando,suara indonesia pak papera satukomando,Positive
648,2023-08-20,1096685547588734976,Rmolsumsel_On,https://twitter.com/Rmolsumsel_On/status/1693263639384584664,Artinya secara tak langsung Bagindo mengatakan Pilpres 2024 akan dimenangkan oleh Prabowo dan pasangannya jika ada tiga pasangan calon presiden dan wakil presiden. Secara mendetail Bagindo mencoba memaparkan hal ini dalam bincangnya dengan redaksi Info Indonesia.,arti cara langsung bagindo kata pilpres menang prabowo pasanganya tiga pasang wakil cara detail bagindo coba papar bincang redaksi info indonesia,Positive
649,2023-08-20,859359474,JhonniSinaga20,https://twitter.com/JhonniSinaga20/status/1693233110660616700,"Jadi pernyataan Ayah tahun 2030 INDONESIA akan lenyap, itu tidak benar. Itu hanya bahasa politik 2019. Mengapa ??? Karena beliau akan maju sebagai calon PRESIDEN pada kontestasi 2024. Mana mungkin beliau mau jadi PRESIDEN negara yg lenyap 2030. 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 🤟🤟🤟",jadi pernyatan ayah indonesia lenyap benar bahasa bagai presiden kontestasi mana mungkin presiden negara lenyap,Positive
650,2023-08-20,1640791322339717121,kazumalord433,https://twitter.com/kazumalord433/status/1693196377847894491,"semoga 2024 Nanti pak bisa jadi presiden Indonesia,demi kesejahteraan warga Indonesia. Aminn 🤲 #papera #prabowopresiden2024",pak indonesia kesejahteran indonesia amin papera,Positive
651,2023-08-20,1667222990793347072,komalad65186027,https://twitter.com/komalad65186027/status/1693195981687566705,"semoga 2024 Nanti pak bisa jadi presiden Indonesia,demi kesejahteraan warga Indonesia. Aminn 🤲 #papera #prabowopresiden2024",pak indonesia kesejahteran indonesia amin papera,Positive
652,2023-08-20,1685863145112580098,RaraPuspit4,https://twitter.com/RaraPuspit4/status/1693133585811968041,"Pemilu Presiden 2024 adalah momentum untuk mengubah Indonesia menjadi negara yang lebih baik. Ayo, dukung Prabowo Subianto dan jadilah bagian dari perubahan ini! #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024",milu presiden momentum ubah indonesia negara baik ayo prabowo subianto jadi ubah mendingprabowo terusmajubersamaprabowo,Positive
653,2023-08-20,1629876797524570113,nazz_alfarizi,https://twitter.com/nazz_alfarizi/status/1693130109941895440,Walahhh....dagelan apa lg ini..sama ganjar atau prabowo ajalah🤣🤣🤣 jangan ganggu konsep terbaik dari pak anis untuk perubahan Indonesia ke arah yang lebih baik. Sehat terus Pak Presiden 2024,walah dagel ini sama aja jangan gangu konsep baik pak ubah indonesia arah baik sehat pak presiden,Positive
654,2023-08-20,64635651,serambinews,https://twitter.com/serambinews/status/1693114646977548710,Kader Partai Demokrasi Indonesia Perjuangan ( PDI-P) Budiman Sudjatmiko rela dipecat demi mendukung Ketua Umum Partai Gerindra Prabowo Subianto menjadi calon presiden pada Pemilihan Presiden (Pilpres) 2024. https://t.co/yqCiB7QVvX,kader partai demokrasi indonesia juang pdi-p budiman sudjatmiko rela pecat ketua umum partai gerindra prabowo subianto pilih presiden pilpres htps t co,Positive
655,2023-08-19,1642153901595164673,WiraGora1618,https://twitter.com/WiraGora1618/status/1692870250310853118,"Satu Frekwensi , terus melaju untuk Indonesia maju , Siap menangkan pak Prabowo Subianto Presiden NKRI 2024 https://t.co/tb58Jf81GV",satu frekwensi laju indonesia siap menang pak prabowo subianto presiden nkri htps t co,Positive
