,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Thu Jun 29 17:36:56 +0000 2023,1674472026873167872,@DYS_yes @tvOneNews Kita dorong Anies Baswedan  dipilih mayoritas rakyat Indonesia  menjadi Presiden RI THN 2024,0,0,0,12,in,4600161918,1674307997110247425,khumaedi26,https://twitter.com/khumaedi26/status/1674472026873167872,Kita dorong Anies Baswedan dipilih mayoritas rakyat Indonesia menjadi Presiden RI THN 2024
1,Thu Jun 29 08:27:36 +0000 2023,1674333785729667072,@LANGKAHANIES @Nossy83129100 @aniesbaswedan DASYATTT... Tak Bosan Melihat Temu Kebangsaan RELAWAN ANIES @Rkyat_biasa. Semangat Yg Luar Biasa Setelah Narasi2 Yg Disampaikan Penuh HARAPAN Menyongsong Perubahan Indonesia Yg Lebih Baik. Ayo Rapatkan Barisan Sukseskan Anies Presiden 2024. Bersama Anies Rakyat Sejahtera.👍🤝💪🇮🇩,0,0,0,0,in,1429040840932872193,1660239946576449543,EndyNugroho8,https://twitter.com/EndyNugroho8/status/1674333785729667072,DASYATTT... Tak Bosan Melihat Temu Kebangsaan RELAWAN ANIES Semangat Yg Luar Biasa Setelah Narasi2 Yg Disampaikan Penuh HARAPAN Menyongsong Perubahan Indonesia Yg Lebih Baik. Ayo Rapatkan Barisan Sukseskan Anies Presiden 2024. Bersama Anies Rakyat Sejahtera.👍🤝💪🇮🇩
2,Thu Jun 29 05:12:57 +0000 2023,1674284799761223680,@lil00555 setelah 2024 Pak Anies berkuasa mau gak jejak Presiden ke7 di hapus dr Bumi Indonesia ?,0,0,0,0,in,59683667,1674134995907104769,kangsata,https://twitter.com/kangsata/status/1674284799761223680,setelah 2024 Pak Anies berkuasa mau gak jejak Presiden ke7 di hapus dr Bumi Indonesia ?
3,Thu Jun 29 05:10:57 +0000 2023,1674284296436346881,@CNNIndonesia Kita doakan yang baik baik aja ya semoga 2024 Anies Presiden 👍 jangan sampai Indonesia Dipimpin petugas partai lagi atau oleh orang yang pernah berjanji akan timbul tenggelam bersama rakyat tapi akhirnya tenggelam beneran karena berkolaborasi dengan penguasa 😁,0,0,0,0,in,1644712105575346176,1672833006195859457,Muhamma14431514,https://twitter.com/Muhamma14431514/status/1674284296436346881,Kita doakan yang baik baik aja ya semoga 2024 Anies Presiden 👍 jangan sampai Indonesia Dipimpin petugas partai lagi atau oleh orang yang pernah berjanji akan timbul tenggelam bersama rakyat tapi akhirnya tenggelam beneran karena berkolaborasi dengan penguasa 😁
4,Thu Jun 29 04:01:28 +0000 2023,1674266811007922178,ITU SEBAB RAKYAT INDONESIA DAMBAKAN SOSOK BUNG ANIES  SBG PRESIDEN INDONESIA 2024 MEMILIKI BESIK KOMPLIT SBG  PEMIMPIN  BERHATI RAKYAT BERJIWA MERAKYAT MAKMUR INDONESIA KAMI SEJAHTERA INDONESIA KAMI HARMONIS ANUTAN INDONESIA KAMI,0,0,0,0,in,1461212153122209794,1674266811007922178,SyafrudinTiada,https://twitter.com/SyafrudinTiada/status/1674266811007922178,ITU SEBAB RAKYAT INDONESIA DAMBAKAN SOSOK BUNG ANIES SBG PRESIDEN INDONESIA 2024 MEMILIKI BESIK KOMPLIT SBG PEMIMPIN BERHATI RAKYAT BERJIWA MERAKYAT MAKMUR INDONESIA KAMI SEJAHTERA INDONESIA KAMI HARMONIS ANUTAN INDONESIA KAMI
5,Thu Jun 29 01:30:56 +0000 2023,1674228927211126784,Bapak Emang cocok jadi PRESIDEN MEDSOS ... klw Presiden Indonesia 2024 ..  ANIES IS THE BEST PRESIDEN INDONESIA 2024,0,0,0,0,in,1601805757590040576,1674228927211126784,Taliwangku,https://twitter.com/Taliwangku/status/1674228927211126784,Bapak Emang cocok jadi PRESIDEN MEDSOS ... klw Presiden Indonesia 2024 .. ANIES IS THE BEST PRESIDEN INDONESIA 2024
6,Wed Jun 28 22:55:35 +0000 2023,1674189830924931072,"@yusuf_dumdum 2024 Ganjar presiden agar Indonesia menuju tahun emas 2045, singkirkan anies, libas pendukung pekoknya. kalau perlu buang ke pulau terpencil. warga negara gak berguna",0,0,0,1,in,1603555147639967745,1674052744343068673,kimingo2022,https://twitter.com/kimingo2022/status/1674189830924931072,"2024 Ganjar presiden agar Indonesia menuju tahun emas 2045, singkirkan anies, libas pendukung pekoknya. kalau perlu buang ke pulau terpencil. warga negara gak berguna"
7,Wed Jun 28 14:58:17 +0000 2023,1674069715893776385,"@aniesbaswedan Barrakallahu fiikum pak Anies, selamat Idhul Adha dan selamat sukses aman dlm mejalani proses pencapresan utk meraih kemenangan pd pilpres 14/02/2024 menjadi Presiden RI yg diridhoi Allah, dipilih rakyat Indonesia yg inginkan perubahan lebih maju adil sehat aman setara sejahtera",0,0,0,0,in,1097107026956627968,1674061589517926403,jonsa61664335,https://twitter.com/jonsa61664335/status/1674069715893776385,"Barrakallahu fiikum pak Anies, selamat Idhul Adha dan selamat sukses aman dlm mejalani proses pencapresan utk meraih kemenangan pd pilpres 14/02/2024 menjadi Presiden RI yg diridhoi Allah, dipilih rakyat Indonesia yg inginkan perubahan lebih maju adil sehat aman setara sejahtera"
8,Wed Jun 28 14:53:39 +0000 2023,1674068550183526404,@aniesbaswedan Selamat Idul Adha 10 Djulhijjah 1444 H / 29 Juni 2023.  Semoga Allah SWT. Memberikan ganjaran Pahala Haji Mabrur dan Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia 2024.  Aamiin Yaa Robbal'alamiin 🤲🤲🤲,0,0,0,2,in,1092631489961910273,1674061589517926403,Raju89755360,https://twitter.com/Raju89755360/status/1674068550183526404,Selamat Idul Adha 10 Djulhijjah 1444 H / 29 Juni 2023. Semoga Allah SWT. Memberikan ganjaran Pahala Haji Mabrur dan Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia 2024. Aamiin Yaa Robbal'alamiin 🤲🤲🤲
9,Wed Jun 28 14:05:10 +0000 2023,1674056347271196678,"Rezim kenapa CAWE CAWE ... ??  Klw Program Kerja Pemerintah saat ini Pro RAKYAT , ngapain BINGUNG ,STRESS ... sampai Ngurusin Pengganti nya ...  Berarti saat ini Banyak MASALAH dengan PEMERINTAHAN SEKARANG ...  PILIHAN KITA ... ANIES IS THE BEST PRESIDEN INDONESIA 2024",0,0,0,0,in,1601805757590040576,1674056347271196678,Taliwangku,https://twitter.com/Taliwangku/status/1674056347271196678,"Rezim kenapa CAWE CAWE ... ?? Klw Program Kerja Pemerintah saat ini Pro RAKYAT , ngapain BINGUNG ,STRESS ... sampai Ngurusin Pengganti nya ... Berarti saat ini Banyak MASALAH dengan PEMERINTAHAN SEKARANG ... PILIHAN KITA ... ANIES IS THE BEST PRESIDEN INDONESIA 2024"
10,Wed Jun 28 11:51:29 +0000 2023,1674022705564352512,@sarah_enjeuLL @BuniYani 2024 Plangaplono End! Alhamdulillah!!!.. dan mari kita stop perpanjangan tangannya! Indonesia butuh perubahan bukan per-ubanan! Anies Presiden! Indonesia great again!!,0,0,0,0,in,1640984682597863425,1673660263269122048,majikipe_dul777,https://twitter.com/majikipe_dul777/status/1674022705564352512,2024 Plangaplono End! Alhamdulillah!!!.. dan mari kita stop perpanjangan tangannya! Indonesia butuh perubahan bukan per-ubanan! Anies Presiden! Indonesia great again!!
11,Wed Jun 28 11:36:38 +0000 2023,1674018966690480135,Komunitas Ngopi 51 ( Ngobrolin Perubahan Indonesia )  Anies For Presiden RI 2024. Bersama dgn Sahabat2 Gus Choi ( A. Effendy Choirie ) di Jakarta Pusat. https://t.co/0uvQrOvhZ4,0,0,1,7,in,1508856919813156866,1674018966690480135,TarunaAdjie1,https://twitter.com/TarunaAdjie1/status/1674018966690480135,Komunitas Ngopi 51 ( Ngobrolin Perubahan Indonesia ) Anies For Presiden RI 2024. Bersama dgn Sahabat2 Gus Choi ( A. Effendy Choirie ) di Jakarta Pusat. https://t.co/0uvQrOvhZ4
12,Wed Jun 28 09:50:39 +0000 2023,1673992296403206146,@OposisiCerdas Yoiii...dirumah aja duduk2 manis mikirkan pak anies jdi presiden indonesia 2024😂😂😂🤣🤣🤣😂😂🤣🤣😂😂,0,0,0,0,in,1642722255066238981,1673895635697954818,Adibara79,https://twitter.com/Adibara79/status/1673992296403206146,Yoiii...dirumah aja duduk2 manis mikirkan pak anies jdi presiden indonesia 2024😂😂😂🤣🤣🤣😂😂🤣🤣😂😂
13,Wed Jun 28 05:12:43 +0000 2023,1673922353569603588,"@BosPurwa Belajar dari 10 tahun ini Indonesia ditangan redbull, jangan sampe 2024 mereka berkuasa lagi, udah cukup hancur ini negara, siapapun presiden nya, gak harus anies yg penting jangan dari banteng merah lagi",0,3,4,36,in,1564645905391042560,1673920005870845953,anfasakazama,https://twitter.com/anfasakazama/status/1673922353569603588,"Belajar dari 10 tahun ini Indonesia ditangan redbull, jangan sampe 2024 mereka berkuasa lagi, udah cukup hancur ini negara, siapapun presiden nya, gak harus anies yg penting jangan dari banteng merah lagi"
14,Wed Jun 28 04:58:41 +0000 2023,1673918822519304192,"@HidayatNatari SEMOGA ALLAH MENJADIKAN ANIES BASWEDAN,, PRESIDEN INDONESIA,2024-2029,, AAMIIN YAA RABBAL ALAMIN,,!!!",0,0,0,0,in,1434134299725365257,1673217257797988352,AmanSya46944420,https://twitter.com/AmanSya46944420/status/1673918822519304192,"SEMOGA ALLAH MENJADIKAN ANIES BASWEDAN,, PRESIDEN INDONESIA,2024-2029,, AAMIIN YAA RABBAL ALAMIN,,!!!"
